DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.21909899,-0.1963303,-0.31692135,0.29707804,-0.2061072,-0.18592563,-0.2924006,0.10708834,-0.24957344,-0.21397589,-0.18458515,-0.19664645,-0.22489123,-0.21231544,-0.12920511,0.06601683,-0.10753064,0.51073164,0.083063826,0.08791134,-0.30078,-0.2630918,-0.32699385,-0.20805943,-0.22873607,-0.22512907,0.30777454,-0.23318695,-0.22380966,-0.20855798,-0.2228561,-0.28668058,-0.30531418,0.09442484,-0.20696267,-0.23033519,0.20066795,-0.22948697,-0.23130596,-0.12654147,0.013228595,-0.1932325,-0.16315398,-0.21290101,-0.24711293,-0.17898905,0.35844094,0.1244443,0.27162886,-0.20681027,-0.29922104,-0.21360666,-0.24009055,-0.2095797,0.22823086,0.08190304,-0.21446347,0.074899405,-0.20913512,0.0014931932,-0.21786633,-0.20101804,-0.022928894,-0.09159739,-0.19395778,-0.20462918,-0.21715139,-0.19245084,-0.26269323,0.5781152,-0.25722784,-0.19789237,0.32478827,0.30530912,0.68946606,0.7082762,0.749877,-0.22189373,-0.36401692,1.2619033,0.7095128,-0.2671677,0.88698256,-0.28488645,-0.24847719,-0.33129504,-0.30351055,-0.38551527,-0.13361152,1.149719,0.120016724,0.04122516,-0.16561162,0.026382193
19870227,0.34271923,-0.07077986,-0.2128007,0.44631574,-0.0938229,-0.07113981,-0.17432861,0.24781793,-0.13240278,-0.09507808,-0.06583062,-0.08049154,-0.10471314,-0.09083906,0.047229588,0.21302268,0.092087954,0.5978234,0.22946727,0.23496783,-0.19545041,-0.14471357,-0.21532516,-0.08634591,-0.1136176,-0.10770899,0.43008867,-0.11065978,-0.10147506,-0.10354993,-0.10473502,-0.17661954,-0.19391333,0.2522661,-0.087284446,-0.10982618,0.34229562,-0.10971525,-0.11057618,0.024254799,0.12605488,-0.076017916,-0.025091052,-0.0948112,-0.12969199,-0.030746102,0.4638664,0.26039132,0.38108283,-0.09119418,-0.18412973,-0.099386305,-0.123452336,-0.093067646,0.3622275,0.24093318,-0.09044799,0.22001606,-0.09648925,0.17244333,-0.10199711,-0.08288646,0.157781,0.10624972,0.19341779,-0.076473355,-0.09283966,-0.065663725,-0.1328299,0.6258395,-0.12926757,-0.059560746,0.45310032,0.2082026,0.73127675,0.72844994,0.7855116,-0.1041469,-0.2646174,1.2452717,0.7570859,-0.16374996,0.91797704,-0.18951093,-0.09199625,-0.22308245,-0.2007455,-0.28314885,0.1054728,1.0929192,0.43108016,0.13728896,-0.015787393,0.2546326
19870331,-0.2760423,-0.69963515,-0.97018707,0.04202652,-0.71310616,-0.6636582,-0.9139573,-0.33400387,-0.8116827,-0.73288894,-0.66975766,-0.70608544,-0.7702198,-0.7436701,-0.6076005,-0.3549308,-0.55311984,-0.07399018,-0.32196102,-0.2943125,-0.92907083,-0.85342646,-0.9846543,-0.7450955,-0.7801273,-0.7797533,-0.087299965,-0.7914766,-0.77106583,-0.7377936,-0.770932,-0.90746284,-0.9535949,-0.26838306,-0.72339505,-0.75278485,-0.14795175,-0.7608761,-0.7533479,-0.52861494,-0.3104084,-0.69992656,-0.60513496,-0.74326694,-0.8046129,-0.61831146,-0.19494611,-0.26490757,-0.25500032,-0.72605836,-0.94150877,-0.74870384,-0.7959719,-0.7353642,-0.11087009,-0.24708493,-0.7512378,-0.32770157,-0.7297205,-0.39593393,-0.7497337,-0.7053199,-0.4124081,-0.66763604,-0.6533866,-0.7098532,-0.74498045,-0.6872964,-0.84864247,-0.014087178,-0.8312676,-0.69959486,-0.08343142,-0.30516958,0.16454996,-0.27336183,-0.261569,-0.6902213,-1.0720606,0.1989321,0.16613932,-0.8494784,-0.15459426,-0.9255446,-0.7045406,-1.0194366,-0.9066847,-1.1245096,-0.50806534,-0.083287895,0.012373567,-0.39626577,-0.51853466,-0.09889476
19870430,-0.22583736,-0.46194017,-0.66574967,-0.05954124,-0.4643733,-0.4427876,-0.6298194,-0.25889242,-0.5497541,-0.4863259,-0.43750864,-0.47134382,-0.51971734,-0.49593782,-0.39281023,-0.26321623,-0.38046968,-0.11640491,-0.26474032,-0.25240776,-0.623474,-0.57778084,-0.6720309,-0.5008234,-0.51956546,-0.5148617,-0.13767037,-0.535652,-0.511751,-0.47015446,-0.50828534,-0.61651576,-0.6552451,-0.21943912,-0.46895218,-0.51040626,-0.16892825,-0.50887686,-0.5124971,-0.38081253,-0.25147808,-0.4604439,-0.41645515,-0.49870467,-0.5465766,-0.43058163,-0.18217151,-0.21916308,-0.21667616,-0.47900113,-0.63530874,-0.48755357,-0.5294226,-0.48107415,-0.13779041,-0.27204788,-0.49832147,-0.2918343,-0.46955532,-0.30120543,-0.5044586,-0.46423918,-0.28604823,-0.42488092,-0.37643704,-0.47122905,-0.5028565,-0.43662012,-0.5598415,-0.08181502,-0.5481326,-0.46122858,-0.2344112,-0.23975214,0.014480412,-0.22473876,-0.2184208,-0.42163384,-0.74183804,0.032001913,0.041062504,-0.48692834,-0.15258932,-0.6009482,-0.45503685,-0.69935906,-0.5897189,-0.77720565,-0.35218048,-0.09344068,-0.06987612,-0.2906835,-0.34954125,-0.12885065
19870529,-0.07394186,-0.21667504,-0.3466187,-0.029659688,-0.22465882,-0.20395616,-0.31858552,-0.081950486,-0.270007,-0.2341079,-0.19504878,-0.22157185,-0.24920735,-0.23224264,-0.16352159,-0.08498388,-0.15333973,-0.079939924,-0.07237336,-0.064995795,-0.31656566,-0.2851931,-0.34811842,-0.23593348,-0.25098962,-0.24947014,-0.055630714,-0.25657082,-0.24639997,-0.2246795,-0.24782117,-0.3148441,-0.3369134,-0.054818597,-0.22516474,-0.24370852,-0.047131874,-0.24942759,-0.24268547,-0.16009653,-0.0748259,-0.21775167,-0.18340984,-0.23988378,-0.26911157,-0.1872739,-0.07568259,-0.06051637,-0.084851,-0.22491457,-0.325863,-0.23280475,-0.26055568,-0.23002271,-0.033553854,-0.13071021,-0.23799667,-0.07814875,-0.22067508,-0.11800617,-0.24063623,-0.199478,-0.0966916,-0.20802918,-0.21555808,-0.22631618,-0.23994179,-0.20071858,-0.27360827,-0.08829925,-0.2699073,-0.21090974,-0.07597835,-0.07158265,-0.05389975,-0.19482765,-0.20303397,-0.07337846,-0.38681692,-0.19123268,-0.05173534,-0.23206183,-0.19818762,-0.29540753,-0.22523531,-0.35256904,-0.269346,-0.4137823,-0.12184279,-0.2217823,-0.010779515,-0.104861945,-0.12850565,-0.0066354424
19870630,-0.01281254,0.12552872,0.10053585,-0.13912584,0.12341717,0.12816134,0.105508015,0.018427104,0.11488515,0.12143024,0.1282188,0.12553158,0.1189946,0.121999286,0.10763848,0.0520498,0.10518649,-0.15081027,0.02201119,0.01785317,0.103382856,0.112727374,0.09918288,0.12208359,0.11845005,0.11906377,-0.09405659,0.11866657,0.119240865,0.12571275,0.11962799,0.105371974,0.101485774,0.015418783,0.12446862,0.12037383,-0.03926927,0.119791515,0.12040994,0.12681398,0.046903893,0.1251425,0.12998003,0.12116705,0.116030924,0.1303742,-0.08182229,0.005645573,-0.039705858,0.12492358,0.10428291,0.12497008,0.11653516,0.123916745,-0.056191355,0.08600585,0.12051383,0.03215766,0.12896183,0.057954937,0.120588265,0.1292677,0.056119025,0.12813866,0.12171534,0.12364825,0.119326636,0.12652129,0.11488468,-0.19772395,0.1151996,0.12606356,0.006683022,0.01304917,-0.19234411,-0.19777527,-0.21811388,-0.021946311,0.092380494,-0.44212684,-0.25484374,0.12513971,-0.26955348,0.107271545,0.12365776,0.0997823,0.11484212,0.08620784,0.102870554,-0.356359,-0.06937272,-0.040267467,0.015463203,-0.001392886
19870731,-0.3651095,-0.600471,-0.7149388,-0.21649712,-0.5897905,-0.56852126,-0.69070446,-0.45953187,-0.6364636,-0.617087,-0.58470595,-0.6147451,-0.6103617,-0.6109555,-0.59924036,-0.40703556,-0.51925296,-0.20912524,-0.3960538,-0.38655636,-0.67172694,-0.6582299,-0.7018748,-0.6161258,-0.6200694,-0.62356377,-0.25193018,-0.61962605,-0.622835,-0.5888017,-0.6164975,-0.6960716,-0.7089933,-0.36410463,-0.575929,-0.6128994,-0.3308988,-0.6187162,-0.6163772,-0.57591504,-0.5006344,-0.5984973,-0.5823091,-0.6175494,-0.6548286,-0.5617562,-0.24767819,-0.33615005,-0.29286075,-0.5944933,-0.6951653,-0.6019203,-0.63639575,-0.5952332,-0.28306508,-0.48029098,-0.6166263,-0.41895765,-0.5707822,-0.41065735,-0.61935675,-0.58820534,-0.40227625,-0.5867724,-0.6156314,-0.5965455,-0.6167853,-0.5830256,-0.6356126,-0.13817376,-0.6322957,-0.5844795,-0.22813413,-0.38456887,-0.1446818,-0.22487111,-0.20339748,-0.3020391,-0.76148665,0.07590005,-0.09844306,-0.37338087,-0.1199812,-0.66197276,-0.6204455,-0.7165428,-0.6009155,-0.7866119,-0.5029782,-0.012000352,-0.2777952,-0.3533314,-0.42617208,-0.34711862
19870831,0.41684157,0.66285825,0.7139486,0.18847156,0.659524,0.6481672,0.7060792,0.54274225,0.6807929,0.6715251,0.65585864,0.67031604,0.6686827,0.66791373,0.66410136,0.46503332,0.5315157,0.21642043,0.43208653,0.42477655,0.6916687,0.69293976,0.7106307,0.6716628,0.67593306,0.67572623,0.29241523,0.6715318,0.676479,0.6584897,0.67015445,0.70585704,0.7138349,0.39718595,0.6509209,0.6686141,0.3664622,0.67286015,0.6693462,0.65122294,0.57251704,0.661984,0.6551861,0.6721388,0.6889521,0.63250864,0.30046344,0.38174492,0.36101553,0.66096187,0.7080146,0.66374373,0.6789702,0.6616194,0.30966878,0.5697533,0.6713728,0.47074863,0.6505329,0.46356693,0.67525184,0.6459749,0.4624005,0.6447277,0.6618631,0.6521987,0.6696452,0.6063026,0.67431784,0.1911478,0.6731705,0.5732924,0.28862703,0.3107341,0.101544194,0.305902,0.28246498,0.46129847,0.73882186,-0.07314713,0.010480151,0.6589302,0.15887097,0.6937314,0.6670611,0.71918887,0.67477125,0.74679554,0.52423406,0.06461923,0.26346466,0.40668684,0.50245374,0.34726864
19870930,-0.12116549,-0.021601567,0.0057327263,-0.17145048,-0.018316615,-0.026449654,0.0014779959,-0.06416638,-0.009640384,-0.014495663,-0.02352412,-0.016492797,-0.01803843,-0.020689897,-0.020532576,-0.10244808,-0.064362824,-0.20462477,-0.10080522,-0.10158133,-0.001397144,-0.0068692267,0.004570717,-0.018499421,-0.014786072,-0.014307024,-0.15659066,-0.018379264,-0.017522333,-0.02053228,-0.018082634,0.0018096156,0.004515946,-0.10627376,-0.027090654,-0.016704429,-0.119100235,-0.015034642,-0.016139474,-0.025464159,-0.037388917,-0.020843081,-0.023474406,-0.017150007,-0.007308239,-0.034168333,-0.17433004,-0.12155843,-0.1559609,-0.021372996,0.001253752,-0.019166635,-0.010809278,-0.02074343,-0.14479893,-0.055851202,-0.020265654,-0.091775686,-0.024200425,-0.09913113,-0.013859481,-0.026287813,-0.110126495,-0.023444854,-0.021158908,-0.025138967,-0.017701736,-0.03500911,-0.012171289,-0.23262563,-0.013044298,-0.026365135,-0.1680994,-0.1751027,-0.2234168,-0.2537515,-0.27571833,-0.026771195,0.01610346,-0.41202998,-0.27086556,-0.121229984,-0.3039177,-0.0035708025,-0.011124743,0.008259227,-0.0079278,0.022608658,-0.030759111,-0.36215934,-0.14314482,-0.12077149,-0.095317386,-0.09074009
19871030,-0.5540097,-0.25711733,-0.37532765,-0.8794265,-0.25637704,-0.22865662,-0.353912,-0.42469883,-0.29654345,-0.2776177,-0.23950645,-0.26398918,-0.27215096,-0.2607534,-0.2534372,-0.5701691,-0.30431426,-1.2070143,-0.48972636,-0.48117894,-0.334702,-0.31853527,-0.3650362,-0.2722231,-0.28801286,-0.28487226,-0.80407625,-0.2717451,-0.27941963,-0.25775883,-0.26835,-0.35664707,-0.3725857,-0.47068417,-0.23361975,-0.27313453,-0.4910345,-0.2797786,-0.2760779,-0.23958111,-0.24886568,-0.2536046,-0.24548572,-0.28087184,-0.31340766,-0.23610717,-0.9860855,-0.56150943,-0.87825614,-0.2514159,-0.35618246,-0.26538938,-0.30103046,-0.25570256,-0.613493,-0.2597875,-0.27160248,-0.45521367,-0.24377449,-0.45266318,-0.28940845,-0.23791373,-0.5215709,-0.25752455,-0.23350897,-0.23917365,-0.27488446,-0.25013256,-0.3097036,-1.508958,-0.30183578,-0.24710527,-0.8408301,-0.7301103,-1.3096608,-1.889801,-2.0388684,-0.24713852,-0.4321737,-2.918756,-1.5089116,-0.30407643,-2.060238,-0.32726705,-0.2735276,-0.38560444,-0.3148645,-0.45079195,-0.2352758,-2.5360126,-0.6763118,-0.7148559,-0.6307011,-0.338952
