DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.42082977,-0.1930343,-2.1713326,0.28038377,-0.81529164,-0.52363217,-1.595716,0.21306634,-1.412873,-0.90274084,-0.6408688,-0.32772473,-0.91393167,-0.29362017,-0.51439184,0.485443,0.114109546,0.84129035,0.024624407,0.03929186,-2.1255307,-1.109063,-2.2939014,-0.29285467,-0.8877195,-0.70083374,0.7045074,-0.7346116,-0.4406743,-0.95768076,-0.7015801,-1.7342461,-1.7922559,0.0070266128,-0.84746164,-0.872245,0.123832226,-1.1368973,-0.9598676,-0.4236967,-0.3293826,-0.6471878,-0.4734481,-0.6278229,-1.0166199,-0.12778194,0.3200121,-0.13113499,0.33796602,-0.45509243,-1.6437954,-0.6636046,-1.2652339,-0.5007452,0.41666013,0.15684897,-0.6180468,-0.071276784,-0.55079156,-0.02438432,-0.95392275,-0.83089095,0.22537002,-0.20493792,-0.64697963,-0.8756891,-0.6982631,-0.8068658,-1.363324,0.7150266,-1.3853849,-0.37473547,0.32580715,0.27794498,1.0569434,1.6984658,1.7715737,-1.1104896,-2.2010775,2.0260818,0.9220106,-1.7269789,1.2199125,-2.1389918,-1.4717561,-2.1357472,-2.210086,-2.8765378,-0.33791882,1.7114857,0.27844256,0.21704198,0.16503611,-0.034820795
19870227,0.8370758,0.1824227,-1.939316,0.6096735,-0.59814,-0.26533017,-1.2516066,0.6218316,-1.0683116,-0.5957626,-0.3501224,0.0059914216,-0.5466341,0.02675648,-0.11682479,0.92340857,0.49475402,1.3032507,0.43101215,0.40626532,-1.9331932,-0.7970063,-2.003004,0.040903874,-0.57756406,-0.3546076,1.1399226,-0.3189447,-0.094518706,-0.7360866,-0.3290029,-1.4807899,-1.5125451,0.4070409,-0.52895236,-0.5173756,0.5157962,-0.742115,-0.60676396,-0.084333315,-0.056903765,-0.34216434,-0.14494134,-0.3522567,-0.7230953,0.1927673,0.77093637,0.17249206,0.782476,-0.17827287,-1.2887532,-0.3705126,-0.96682984,-0.18731987,0.8487514,0.5493087,-0.31480324,0.28658518,-0.31578162,0.35273558,-0.6950133,-0.5033268,0.6997987,0.08065995,0.006813273,-0.4656189,-0.3598083,-0.29907075,-0.9095638,1.1604595,-0.9540576,0.061878115,0.80955327,0.29193467,1.3548552,2.2292624,2.3187711,-0.66479063,-1.9494183,2.4897857,1.2079297,-1.498677,1.8284924,-1.9645387,-0.3352607,-1.8275516,-1.9269392,-2.5298584,0.064701736,2.1717522,0.86091834,0.80712897,0.6924331,0.32679427
19870331,0.3746279,-0.26776493,-1.9480845,0.6574168,-0.5162911,-0.30434293,-1.5136851,0.17100458,-1.224124,-0.7450273,-0.4962815,-0.4164487,-0.89870924,-0.4572968,-0.35929137,0.39694408,0.10700229,0.9726143,0.06842896,0.13139006,-1.8795526,-1.1504674,-2.0626535,-0.40388727,-0.84757566,-0.7807039,0.8568805,-0.77905697,-0.57439077,-0.7095907,-0.7903078,-1.6589504,-1.7395,0.1582942,-0.8221324,-0.7242325,0.34274557,-0.9157588,-0.7925216,-0.25902528,-0.18361333,-0.55922425,-0.3019759,-0.6580671,-0.9492024,-0.14892744,0.4967674,0.041794598,0.508914,-0.37638915,-1.6007674,-0.53372717,-1.1279088,-0.40668702,0.6791451,0.38052744,-0.70863926,0.023062736,-0.38182825,0.018695295,-0.85631716,-0.5936806,0.19579762,-0.44866478,-0.60463864,-0.78868926,-0.7961462,-0.7189138,-1.3784086,0.96799815,-1.340514,-0.4339951,0.5279433,0.0645459,1.388779,1.2723702,1.3577068,-0.4345935,-2.223642,2.2490363,1.1907914,-1.4622892,1.3969313,-2.0406754,-0.45680922,-2.0351446,-1.7727181,-2.7181695,-0.14971521,1.7233403,0.78410125,0.25026858,-0.0069952086,0.26207343
19870430,0.3001988,-0.34116846,-1.7915293,0.6409907,-0.40234274,-0.26409346,-1.5077282,0.03875652,-1.1733451,-0.71050954,-0.40007204,-0.5121428,-0.98040086,-0.5021783,-0.2879588,0.32403144,-0.1004352,0.7926666,0.009143144,0.07601741,-1.6772176,-1.1897945,-1.9235951,-0.5100838,-0.84153837,-0.7936212,0.6701237,-0.9301637,-0.6380946,-0.51470804,-0.8067,-1.5649453,-1.6823063,0.17167094,-0.721493,-0.7622703,0.28845307,-0.8622806,-0.8120576,-0.22644167,-0.12570584,-0.51164937,-0.25843948,-0.6904299,-0.9226964,-0.36799663,0.4087037,0.055556476,0.36645436,-0.31821346,-1.5109712,-0.38051385,-1.0038635,-0.2984984,0.6196868,0.32753333,-0.7606601,-0.09025279,-0.2312491,-0.10825685,-0.85557085,-0.5674752,0.0012638867,-0.4875872,-0.40793628,-0.85278255,-0.8866347,-0.62667286,-1.3454316,0.8665947,-1.308682,-0.45204222,0.1035358,0.05758658,1.3169484,0.8088027,0.8952472,-0.37087402,-2.2993748,1.9837655,1.2562972,-0.8280555,1.190874,-1.7741531,-0.5598967,-1.9568053,-1.5699232,-2.6580153,-0.06255171,1.5446001,0.7478812,-0.05543685,-0.31418496,0.32900605
19870529,0.17563462,-0.39148337,-1.4359741,0.5690987,-0.38667214,-0.26523244,-1.2114555,-0.047580734,-0.9935405,-0.67607224,-0.37748158,-0.5444941,-0.8275598,-0.48077214,-0.2552784,0.19784263,-0.092125595,0.60056984,0.026697993,0.08381367,-1.3860655,-0.98066896,-1.5641849,-0.46456194,-0.75371593,-0.72246623,0.5011252,-0.7814073,-0.6005619,-0.44157785,-0.7477086,-1.3324025,-1.3587325,0.11577764,-0.7063248,-0.64804375,0.20068431,-0.8275576,-0.66970485,-0.21300015,-0.1572634,-0.51887584,-0.23883642,-0.6273249,-0.8214818,-0.3232795,0.29992902,0.03791341,0.2501938,-0.29742408,-1.2366507,-0.32348412,-0.88392985,-0.24645352,0.49201843,0.25989127,-0.72506744,-0.011062503,-0.1875583,-0.12759225,-0.74823254,-0.31600606,-0.064370826,-0.576391,-0.53061754,-0.8248465,-0.8362069,-0.61118317,-1.1936028,0.68702495,-1.1812658,-0.48245662,-0.012935281,0.05682701,0.77119577,0.56099975,0.6628812,0.09496203,-1.825979,1.5148128,0.99000156,-0.7147518,0.8432433,-1.3407454,-0.65649354,-1.4860376,-1.0111568,-2.113055,-0.08745204,1.1257231,0.6497803,0.03762287,-0.09379743,0.21685258
19870630,0.08805668,-0.3792205,-1.1145718,0.41484055,-0.287565,-0.20085894,-0.9436355,-0.13472265,-0.78439355,-0.5571298,-0.33594805,-0.5240761,-0.67509484,-0.46257487,-0.19737664,0.036425978,-0.13137189,0.4115015,0.015693992,0.057197154,-1.1257721,-0.82304317,-1.2262132,-0.41433066,-0.6447278,-0.6320989,0.31248742,-0.6488654,-0.5715656,-0.3049164,-0.65331966,-1.0813347,-1.0925797,0.06424342,-0.54685426,-0.5307247,0.13643375,-0.6507262,-0.548265,-0.1918683,-0.12831165,-0.41418386,-0.20297843,-0.5204663,-0.67052865,-0.3464048,0.17373754,-0.033934623,0.10479206,-0.22688837,-0.9703858,-0.20261782,-0.6927864,-0.16796464,0.36728343,0.18719833,-0.63699096,-0.021145537,-0.10715888,-0.12094814,-0.60639715,-0.26765323,-0.16944022,-0.4919353,-0.5551157,-0.6514158,-0.73610383,-0.60413784,-0.9415639,0.4623177,-0.92797226,-0.43961632,-0.02543886,-0.049294427,0.5849275,0.18042263,0.24922371,0.13723382,-1.5859742,1.0450581,0.7599471,-0.18912461,0.5241783,-1.0574203,-0.5118337,-1.1987677,-0.73029846,-1.7260804,-0.10429691,0.7715532,0.38668475,-0.099106684,-0.31738532,0.1696236
19870731,-0.07480073,-0.54094374,-0.9871943,0.36205116,-0.23073377,-0.14682946,-1.0217394,-0.3472687,-0.7898643,-0.6947173,-0.33523828,-0.77622294,-0.67320853,-0.59503275,-0.5601057,-0.12953356,-0.24534541,0.26928845,-0.06745374,-0.026366621,-0.9688865,-0.94889045,-1.115139,-0.5265539,-0.703022,-0.7510184,0.16536978,-0.75773156,-0.70200837,-0.24307889,-0.74125427,-1.131162,-1.1550177,0.03634724,-0.4482438,-0.57267153,0.03392327,-0.672802,-0.6016772,-0.22289263,-0.15766658,-0.49263245,-0.25756887,-0.5877615,-0.7635961,-0.44324657,0.09444448,-0.019105047,-0.0010843277,-0.2634299,-1.0368054,-0.19042926,-0.74603045,-0.15406205,0.2891022,0.12148571,-0.7083777,-0.11501032,-0.071340725,-0.10901158,-0.6623589,-0.42439592,-0.25910282,-0.62083006,-0.6269151,-0.65442497,-0.8387252,-0.6101917,-0.9829061,0.32549694,-0.94729924,-0.49481785,0.15155914,-0.17176768,0.5224248,-0.12099531,-0.057685807,0.009015441,-1.6771798,0.8640839,0.6397266,0.023546368,0.3174977,-1.0215673,-0.719777,-1.2305773,-0.6410148,-1.77081,-0.107789606,0.63776696,0.32307076,-0.33036593,-0.585055,0.17469917
19870831,0.0051060915,-0.3755135,-0.7304819,0.28408292,-0.16898316,-0.07010981,-0.7685845,-0.2234056,-0.57470787,-0.49160415,-0.18514109,-0.57518053,-0.4707194,-0.41667235,-0.3894512,-0.081942186,-0.097013265,0.25962615,-0.0046606213,0.02081801,-0.68382907,-0.70706886,-0.84288174,-0.36798483,-0.5157038,-0.543995,0.15793334,-0.53223,-0.52631485,-0.1660722,-0.53537273,-0.84282565,-0.8600605,0.080535755,-0.28079543,-0.39536843,0.07136285,-0.48107207,-0.40543655,-0.12219107,-0.0877971,-0.31549436,-0.15205714,-0.40663922,-0.54775625,-0.28226817,0.10525006,0.026355341,0.03968209,-0.1547316,-0.7793017,-0.10345571,-0.53409207,-0.08119662,0.26898742,0.13055749,-0.49134356,-0.071885884,-0.022678234,-0.034838364,-0.50217485,-0.22968999,-0.14292735,-0.37478545,-0.37772295,-0.3038426,-0.5882297,-0.37433034,-0.66966784,0.2642748,-0.6885106,-0.16190113,0.13037904,0.1024743,0.45258814,-0.14205885,-0.08368905,-0.08334638,-1.3508435,0.6975722,0.59259033,-0.323756,0.4037825,-0.84581095,-0.4271136,-0.9353816,-0.60949874,-1.3801055,-0.020127907,0.543912,0.2839638,-0.18199588,-0.43933082,0.17143503
19870930,-0.011000589,-0.3492664,-0.66428316,0.26766884,-0.13301435,-0.04847058,-0.7123698,-0.21198751,-0.5246062,-0.43964332,-0.16484553,-0.56753504,-0.42831588,-0.39744228,-0.35013714,-0.06785406,-0.07479042,0.2208547,0.00660941,0.0060180277,-0.6655447,-0.67543626,-0.78441113,-0.3326596,-0.4735691,-0.50686383,0.148305,-0.5154415,-0.5015267,-0.13160035,-0.49609435,-0.76529545,-0.8034897,0.08142628,-0.2583294,-0.35525241,0.068413615,-0.44894814,-0.35878134,-0.12463346,-0.10076362,-0.28084248,-0.14487043,-0.37243629,-0.51261175,-0.23540828,0.11790833,0.027917117,0.046635717,-0.123794585,-0.7194847,-0.093687944,-0.47650304,-0.069939196,0.2683801,0.13729079,-0.4780867,-0.058318514,-0.0068058,0.0051574484,-0.4467479,-0.22477458,-0.11718544,-0.40668747,-0.32670292,-0.249692,-0.558267,-0.3436713,-0.6936805,0.23354962,-0.67658067,-0.19468828,0.14108671,0.16499609,0.4024076,-0.19190598,-0.11725731,-0.12069889,-1.2487485,0.62313426,0.53363156,0.05528438,0.26244283,-0.669907,-0.53117263,-0.8687734,-0.46440667,-1.2718225,-0.071152434,0.44986904,0.29421565,-0.26383716,-0.4982951,0.15904152
19871030,-0.17547882,-0.45333073,-0.52417797,0.23186535,-0.039327353,-0.002878271,-0.6688514,-0.32224673,-0.4393411,-0.3638308,-0.14581326,-0.65691525,-0.50526035,-0.54969704,-0.30992532,-0.27914464,-0.20260589,-0.01798305,-0.07448467,-0.043205827,-0.50483865,-0.72748744,-0.6501627,-0.43325704,-0.51585937,-0.5893834,-0.0012283027,-0.64326894,-0.6443815,-0.041839026,-0.62113345,-0.66301733,-0.77790797,3.682077e-05,-0.2618571,-0.33838922,0.03537512,-0.4009161,-0.32953596,-0.09707727,-0.09765407,-0.28890127,-0.11398661,-0.41473126,-0.47216588,-0.3277635,-0.05102226,-0.025326774,-0.11592783,-0.14925414,-0.70717394,-0.08205504,-0.3949297,-0.09514329,0.10725011,0.037546188,-0.59326375,-0.056324393,0.04357615,-0.08342756,-0.40906614,-0.20989394,-0.31094775,-0.44324502,-0.26549926,-0.2508501,-0.605922,-0.35783738,-0.72390556,0.06478612,-0.6811573,-0.35718867,0.017283008,0.0005504787,0.24349387,-0.78952456,-0.76119053,-0.10128113,-1.3403761,0.12139717,0.36172223,-0.36078387,-0.14584821,-0.60655683,-0.34647122,-0.7896268,-0.46747482,-1.2242109,-0.06540636,0.003528908,0.1950383,-0.5209003,-0.81704146,0.2085508
